pic name, retail cut name,primal name, species
b_rumpsteak7.jpg, rump steak, rump, beef
b_rumpsteak8.jpg,rump steak,rump,beef
b_rumpsteak.jpg, rump steak, rump,beef
b_shinbeefbonein.jpg, shin beef bone in, shin-shank,beef
b_shinbeefboneless2.jpg, shin beef bone less, shin-shank,beef
