src,region,salableItem,primal
./salableImg/2025/b_higashi_rumpcap.JPG,butt,rump cap, rump
./salableImg/2025/b_higashi_oysterblade.JPG,forequarter,oyster blade,blade
./salableImg/2025/b_higashi_topsidecapoff.JPG,butt, topside cap off, topside
./salableImg/2025/b_higashi_pointendbrisket.JPG,forequarter,point end brisket, brisket
./salableImg/2025/b_higashi_bolarblade.JPG,forequarter, bolar blade, blade
./salableImg/2025/b_higashi_striploin.JPG, loin, strip loin, shortloin
./salableImg/2025/b_higashi_flapMeat.JPG, flank, flap meat, internal flank plate
./salableImg/2025/b_higashi_chucktender.JPG, forequarter, chuck tender, blade
./salableImg/2025/b_higashi_chuckroll.JPG, forequarter, cube roll, cube roll 
./salableImg/2025/b_hiashi_thickflank.JPG, butt, thick flank, thick flank
./salableImg/2025/b_higashi_navelendBrisket.JPG, forequarter, navel end brisket, brisket
